Category,App,Reviews
GAME,Subway Surfers,138606606
GAME,Clash of Clans,89785611
GAME,Candy Crush Saga,89715037
GAME,8 Ball Pool,85201288
GAME,Clash Royale,69405018
GAME,Temple Run 2,40591993
GAME,Hill Climb Racing,35692703
GAME,Pou,31456660
GAME,Sniper 3D Gun Shooter: Free Shooting Games - FPS,30675486
GAME,Farm Heroes Saga,30457223
GAME,My Talking Tom,29783692
GAME,My Talking Angela,29647104
GAME,Angry Birds Classic,27833127
GAME,slither.io,26170644
GAME,Zombie Tsunami,24603575
GAME,ROBLOX,22243317
GAME,Shadow Fight 2,21960912
GAME,Pokémon GO,20846209
GAME,Dream League Soccer 2018,19766445
GAME,Candy Crush Soda Saga,18596538
GAME,Hungry Shark Evolution,18220503
GAME,Garena Free Fire,16476307
GAME,PUBG MOBILE,14843378
GAME,Plants vs. Zombies FREE,12201620
GAME,Score! Hero,10838351
GAME,Talking Tom Gold Run,10791088
GAME,Traffic Racer,10775420
GAME,Angry Birds Rio,10442156
GAME,Minion Rush: Despicable Me Official Game,10216538
GAME,Yes day,10055521
GAME,Jetpack Joyride,9275602
GAME,Helix Jump,8982809
GAME,Crossy Road,8460863
GAME,Asphalt 8: Airborne,8389714
GAME,Gardenscapes,8258397
GAME,Mobile Legends: Bang Bang,8219586
GAME,Piano Tiles 2™,8118880
GAME,Bowmasters,7677453
GAME,Agar.io,7632413
GAME,Sonic Dash,7556743
GAME,Trivia Crack,6427773
GAME,Cooking Fever,6396041
GAME,Homescapes,6187290
GAME,Geometry Dash Lite,6181640
GAME,Zombie Catchers,5942417
GAME,Granny,5677213
GAME,Hill Climb Racing 2,5501055
GAME,Fruit Ninja®,5091448
GAME,Dr. Driving,4972230
GAME,MARVEL Contest of Champions,4936978
GAME,Gangstar Vegas - mafia game,4830407
GAME,Last Day on Earth: Survival,4620701
GAME,Castle Clash: Heroes of the Empire US,4578476
GAME,Pixel Gun 3D: Survival shooter & Battle Royale,4487182
GAME,Fishdom,4316510
GAME,Cut the Rope FULL FREE,4247174
GAME,Swamp Attack,4238453
GAME,Smash Hit,4147718
GAME,Toon Blast,4053928
GAME,Temple Run,4000433
GAME,DEER HUNTER CLASSIC,3941129
GAME,Flow Free,3886788
GAME,Angry Birds 2,3883589
GAME,Angry Birds Go!,3846378
GAME,Toy Blast,3778832
GAME,Banana Kong,3452530
GAME,Pixel Art: Color by Number Game,3376021
GAME,Need for Speed™ No Limits,3344300
GAME,War Robots,3073251
GAME,Vector,3058687
GAME,Lords Mobile: Battle of the Empires - Strategy RPG,3057481
GAME,MORTAL KOMBAT X,3039889
GAME,Kick the Buddy,3008395
GAME,Best Fiends - Free Puzzle Game,2960371
GAME,DEAD TARGET: FPS Zombie Apocalypse Survival Games,2937229
GAME,Modern Combat 5: eSports FPS,2903386
GAME,DINO HUNTER: DEADLY SHORES,2763444
GAME,Fallout Shelter,2719142
GAME,RULES OF SURVIVAL,2686972
GAME,Earn to Die 2,2654534
GAME,Candy Crush Jelly Saga,2601109
GAME,Bike Race Free - Top Motorcycle Racing Games,2586261
GAME,Hungry Shark World,2485872
GAME,Injustice: Gods Among Us,2440877
GAME,Extreme Car Driving Simulator,2251012
GAME,Harry Potter: Hogwarts Mystery,2214507
GAME,GUNSHIP BATTLE: Helicopter 3D,2151039
GAME,Summoners War,2045554
GAME,Zynga Poker – Texas Holdem,1986068
GAME,DEER HUNTER 2018,1911270
GAME,Episode - Choose Your Story,1841061
GAME,Magic Tiles 3,1776854
GAME,FRONTLINE COMMANDO: D-DAY,1736105
GAME,Bubble Witch 3 Saga,1732263
GAME,UNO ™ & Friends,1728557
GAME,Words With Friends Classic,1704112
GAME,Glow Hockey,1703479
GAME,Call of Duty®: Heroes,1604146
GAME,Geometry Dash Meltdown,1591129
GAME,CATS: Crash Arena Turbo Stars,1559650
GAME,Geometry Dash World,1520466
GAME,Special Forces Group 2,1432809
GAME,Red Ball 4,1432447
GAME,Critical Ops,1397944
GAME,Roll the Ball® - slide puzzle,1385093
GAME,Chess Free,1375988
GAME,PAC-MAN,1371431
GAME,FRONTLINE COMMANDO,1351833
GAME,Rider,1310212
GAME,► MultiCraft ― Free Miner! 👍,1305050
GAME,Word Search,1230707
GAME,Guns of Boom - Online Shooter,1226514
GAME,Super Mario Run,1221896
GAME,Angry Birds Star Wars,1218055
GAME,Ant Smasher by Best Cool & Fun Games,1185148
GAME,Skater Boy,1167143
GAME,Blossom Blast Saga,1125438
GAME,Live Hold’em Pro Poker - Free Casino Games,1123190
GAME,Rolling Sky,1117212
GAME,Anger of stick 5 : zombie,1096683
GAME,Draw Something Classic,1092106
GAME,Doodle Jump,1083571
GAME,Five Nights at Freddy's 3 Demo,1041836
GAME,Alto's Adventure,1030897
GAME,KIM KARDASHIAN: HOLLYWOOD,1017408
GAME,DRAGON BALL LEGENDS,1014407
GAME,Galaxy Attack: Alien Shooter,1012868
GAME,Family Guy The Quest for Stuff,995002
GAME,Bike Racing 3D,951435
GAME,Block Strike,947515
GAME,Block Craft 3D: Building Simulator Games For Free,946926
GAME,The Sims™ FreePlay,931595
GAME,Knife Hit,923751
GAME,World Series of Poker – WSOP Free Texas Holdem,910051
GAME,Five Nights at Freddy's 4 Demo,889425
GAME,BMX Boy,839206
GAME,Modern Strike Online,834117
GAME,Angry Birds Friends,829753
GAME,Perfect Piano,828489
GAME,Stick War: Legacy,811040
GAME,Choices: Stories You Play,807338
GAME,Crisis Action: 2018 NO.1 FPS,807226
GAME,Dude Perfect 2,803073
GAME,Lep's World 2 🍀🍀,798522
GAME,Just Dance Now,794058
GAME,Piano Free - Keyboard with Magic Tiles Music Games,785622
GAME,Bomber Friends,776730
GAME,Lep's World 3 🍀🍀🍀,771001
GAME,Bus Rush: Subway Edition,753043
GAME,FINAL FANTASY BRAVE EXVIUS,745684
GAME,Cover Fire: offline shooting games for free,725897
GAME,Words With Friends – Play Free,711719
GAME,Racing Moto,697805
GAME,Lep's World 🍀,696019
GAME,Wordscapes,692286
GAME,DRAGON BALL Z DOKKAN BATTLE,650114
GAME,Beach Buggy Blitz,640974
GAME,Bubble Shooter,639303
GAME,Bullet Force,634159
GAME,Robbery Bob,617732
GAME,Hustle Castle: Fantasy Kingdom,584126
GAME,Kill Shot Bravo: Sniper FPS,579519
GAME,ETERNITY WARRIORS 2,568391
GAME,Asphalt Xtreme: Rally Racing,567984
GAME,DH Texas Poker - Texas Hold'em,562345
GAME,Miraculous Ladybug & Cat Noir - The Official Game,553438
GAME,Run Sausage Run!,551552
GAME,"Cash, Inc. Money Clicker Game & Business Adventure",549720
GAME,Cytus,541732
GAME,Partymasters - Fun Idle Game,541144
GAME,Mini Golf King - Multiplayer Game,531458
GAME,My Boy! Free - GBA Emulator,531074
GAME,Dan the Man: Action Platformer,528550
GAME,Fernanfloo,526595
GAME,Strawberry Shortcake BerryRush,525517
GAME,BLACKJACK!,524467
GAME,The Walking Dead: Road to Survival,522466
GAME,Major Mayhem,520962
GAME,Injustice 2,504765
GAME,Eyes - The Scary Horror Game Adventure,499483
GAME,Final Fantasy XV: A New Empire,484981
GAME,Dr. Parking 4,475369
GAME,Racing in Car 2,468699
GAME,Deck Heroes: Legacy,466495
GAME,Stupid Zombies,464900
GAME,Rope Hero: Vice Town,452589
GAME,Solitaire TriPeaks,446434
GAME,Arena of Valor: 5v5 Arena Game,438911
GAME,Merge Dragons!,429596
GAME,The Maze Runner,428268
GAME,Snake VS Block,422244
GAME,NinJump,421000
GAME,Idle Heroes,416540
GAME,Real City Car Driver,413609
GAME,Solitaire,408522
GAME,Hitman Sniper,408292
GAME,SAMURAI vs ZOMBIES DEFENSE,407788
GAME,THE KING OF FIGHTERS-A 2012(F),406511
GAME,Solitaire!,403911
GAME,Grand Gangsters 3D,401643
GAME,Texas HoldEm Poker Deluxe,396090
GAME,Ingress,391325
GAME,Big Fish Casino – Play Slots & Vegas Games,382100
GAME,Checkers,375996
GAME,Nyan Cat: Lost In Space,371318
GAME,Hello Kitty Nail Salon,369203
GAME,Love Balls,360630
GAME,Cooking Madness - A Chef's Restaurant Games,358817
GAME,Dr. Driving 2,358633
GAME,Dragon Hills,354373
GAME,Can Knockdown 3,349503
GAME,Grand Theft Auto: San Andreas,348962
GAME,diep.io,347883
GAME,Rivals at War: Firefight,344819
GAME,Arrow.io,343263
GAME,Heroes Arena,336386
GAME,MARVEL Strike Force,331816
GAME,Bike Mayhem Free,331692
GAME,Zombie Hunter: Post Apocalypse Survival Games,327599
GAME,Zombie Frontier,326689
GAME,Call of Mini™ Dino Hunter,326042
GAME,Shoot Hunter-Gun Killer,320334
GAME,DEER HUNTER RELOADED,314774
GAME,Jurassic World™ Alive,309176
GAME,Fidget Spinner,307398
GAME,Metal Soldiers 2,307030
GAME,Quiz: Logo game,306764
GAME,MARVEL Avengers Academy,304106
GAME,Toy Truck Rally 3D,301895
GAME,Standoff 2,299046
GAME,Toughest Game Ever 2,293086
GAME,Soul Knight,292164
GAME,TRANSFORMERS: Forged to Fight,291941
GAME,Real Gangster Crime,285814
GAME,Color by Number – New Coloring Book,283837
GAME,Jewels Legend - Match 3 Puzzle,280098
GAME,Hard Time (Prison Sim),275843
GAME,Kung Fu Do Fighting,271214
GAME,Race the Traffic Moto,270687
GAME,NARUTO X BORUTO NINJA VOLTAGE,267395
GAME,Slot Machines by IGG,267229
GAME,Power Rangers: Legacy Wars,264755
GAME,Heart of Vegas™ Slots – Free Slot Casino Games,264282
GAME,Battlefield™ Companion,263907
GAME,Rush,260651
GAME,Geometry Dash SubZero,260527
GAME,Shooting King,257724
GAME,Truck Driver Cargo,257531
GAME,Miami crime simulator,254518
GAME,Hopeless Land: Fight for Survival,250197
GAME,iGun Pro -The Original Gun App,249308
GAME,Call of Mini™ Zombies 2,248417
GAME,Governor of Poker 2 - OFFLINE POKER GAME,246538
GAME,Big Hunter,245455
GAME,GUN ZOMBIE,243121
GAME,Word Crossy - A crossword game,240416
GAME,Rope'n'Fly 4,234606
GAME,Experiment Z - Zombie,229329
GAME,War and Order,224514
GAME,CKZ ORIGINS,219821
GAME,BEYBLADE BURST app,216849
GAME,Word Link,216675
GAME,I Know Stuff,214923
GAME,1LINE – One Line with One Touch,214878
GAME,Draw a Stickman: EPIC 2 Free,213340
GAME,Love Nikki-Dress UP Queen,212524
GAME,Bike Rivals,212067
GAME,Draw a Stickman: EPIC Free,210317
GAME,I Am Innocent,208501
GAME,CONTRACT KILLER: ZOMBIES (NR),206602
GAME,Rento - Dice Board Game Online,205830
GAME,Golden HoYeah Slots - Real Casino Slots,201537
GAME,Creative Destruction,201426
GAME,Dragonplay™ Poker Texas Holdem,197979
GAME,Sweet Fruit Candy,197540
GAME,Flip the Gun - Simulator Game,195558
GAME,Power Rangers Dino Charge,194969
GAME,Train Racing Games 3D 2 Player,192374
GAME,HAWK – Force of an Arcade Shooter. Shoot 'em up,190274
GAME,Grim Soul: Dark Fantasy Survival,189773
GAME,Lineage 2: Revolution,187972
GAME,Texas Holdem & Omaha Poker: Pokerist,187200
GAME,Bingo by IGG: Top Bingo+Slots!,183343
GAME,Block Puzzle,179561
GAME,Motorbike Driving Simulator 3D,178723
GAME,Squadron - Bullet Hell Shooter,177542
GAME,Tank Stars,174755
GAME,SCRABBLE,172281
GAME,Gems or jewels ?,171448
GAME,Space Shooter : Galaxy Attack,169661
GAME,Mafia City,168717
GAME,Peggle Blast,166251
GAME,Rope'n'Fly 3 - Dusk Till Dawn,166033
GAME,Cartoon Wars: Blade,165656
GAME,San Andreas Crime Stories,162530
GAME,Iron Blade,161637
GAME,Avatar Musik,159063
GAME,Pineapple Pen,157264
GAME,Cops N Robbers - FPS Mini Game,156862
GAME,Bingo Party - Free Bingo Games,155694
GAME,Marble Woka Woka 2018 - Bubble Shooter Match 3,155186
GAME,Miami Crime Vice Town,154519
GAME,Does not Commute,154108
